"s","birthName"
"http://dbpedia.org/resource/Kambar_(poet)","Kavichakravarthy Kamban"
"http://dbpedia.org/resource/Keith_Douglas","Keith Castellain Douglas"
"http://dbpedia.org/resource/Kelly_Cherry","Kelly Cherry"
"http://dbpedia.org/resource/Kendrick_Lamar","Kendrick Lamar Duckworth"
"http://dbpedia.org/resource/Keorapetse_Kgositsile","Keorapetse William Kgositsile"
"http://dbpedia.org/resource/Keri_Hulme","Kerry Ann Ruhi Hulme"
"http://dbpedia.org/resource/Kevin_Young_(poet)","Kevin Young"
"http://dbpedia.org/resource/Kim_Addonizio","Kim Addonizio"
"http://dbpedia.org/resource/Kingsley_Amis","Kingsley William Amis"
"http://dbpedia.org/resource/Kobayashi_Issa","Kobayashi Nobuyuki ("
"http://dbpedia.org/resource/Konstantin_Balmont","Konstantin Dmitrievich Balmont"
"http://dbpedia.org/resource/Konstanty_Ildefons_Gałczyński","Konstanty Ildefons Gałczyński"
"http://dbpedia.org/resource/Vyasa","Krishna Dvaipayana"
"http://dbpedia.org/resource/Lajos_Áprily","Lajos Jékely"
"http://dbpedia.org/resource/Laura_Riding","Laura Reichenthal"
"http://dbpedia.org/resource/Lawrence_Durrell","Lawrence George Durrell"
"http://dbpedia.org/resource/Lawrence_Ferlinghetti","Lawrence Monsanto Ferlinghetti"
"http://dbpedia.org/resource/Kamau_Brathwaite","Lawson Edward Brathwaite"
"http://dbpedia.org/resource/Laza_Kostić","Lazar Kostić"
"http://dbpedia.org/resource/Guru_Angad","Lehna"
"http://dbpedia.org/resource/Nelly_Sachs","Leonie Sachs"
"http://dbpedia.org/resource/Leopold_Staff","Leopold Staff"
"http://dbpedia.org/resource/Tupac_Shakur","Lesane Parish Crooks"
"http://dbpedia.org/resource/Jan_Lechoń","Leszek Józef Serafinowicz"
"http://dbpedia.org/resource/Lisa_Gluskin_Stonestreet","Lisa Gluskin"
"http://dbpedia.org/resource/Ljubivoje_Ršumović","Ljubivoje Ršumović"
"http://dbpedia.org/resource/Lorna_Goodison","Lorna Gaye Goodison"
"http://dbpedia.org/resource/Louis_Simpson","Louis Aston Marantz Simpson"
"http://dbpedia.org/resource/Louisa_Lawson","Louisa Albury"
"http://dbpedia.org/resource/L._S._Bevington","Louisa Sarah Bevington"
"http://dbpedia.org/resource/Louise_Glück","Louise Elisabeth Glück"
"http://dbpedia.org/resource/Gabriela_Mistral","Lucila de María del Perpetuo Socorro Godoy Alcayaga"
"http://dbpedia.org/resource/Władysław_Syrokomla","Ludwik Władysław Franciszek Kondratowicz"
"http://dbpedia.org/resource/Luis_Cernuda","Luis Cernuda Bidón"
"http://dbpedia.org/resource/Luis_de_Góngora","Luis de Argote y Góngora"
"http://dbpedia.org/resource/Luís_de_Camões","Luís Vaz de Camões"
"http://dbpedia.org/resource/Léonie_Adams","Léonie Fuller"
"http://dbpedia.org/resource/Micere_Githae_Mugo","Madeleine Micere Githae"
"http://dbpedia.org/resource/Michael_Madhusudan_Dutt","Madhusudan Dutt"
"http://dbpedia.org/resource/Angelico_Chavez","Manuel Ezequiel Chávez"
"http://dbpedia.org/resource/Maggie_Estep","Margaret Ann Estep"
"http://dbpedia.org/resource/Margaret_Atwood","Margaret Eleanor Atwood"
"http://dbpedia.org/resource/Rumer_Godden","Margaret Rumer Godden"
"http://dbpedia.org/resource/Maya_Angelou","Marguerite Annie Johnson"
"http://dbpedia.org/resource/Marguerite_Young","Marguerite Vivian Young"
"http://dbpedia.org/resource/Maria_Luise_Thurmair","Maria Luise Mumelter"
"http://dbpedia.org/resource/Maria_Konopnicka","Maria Wasiłowska"
"http://dbpedia.org/resource/Maria_Barrell","Maria Weylar"
"http://dbpedia.org/resource/Maria_White_Lowell","Maria White"
"http://dbpedia.org/resource/Wisława_Szymborska","Maria Wisława Anna Szymborska"
"http://dbpedia.org/resource/Marian_Hemar","Marian Hescheles"
"http://dbpedia.org/resource/Marie_Ponsot","Marie Birmingham"
"http://dbpedia.org/resource/Marina_Tsvetaeva","Marina Ivanovna Tsvetaeva"
"http://dbpedia.org/resource/Mario_Petrucci","Mario Petrucci"
"http://dbpedia.org/resource/Marion_Angus","Marion Angus"
